Name,State,CPUs,Memory Size (MB),Guest OS,Status,Provisioned Space,Used Space,Host,DNS Name,Managed By
ANR-Jupiter-Old,Powered On,2,6144,Microsoft Windows Server 2012 (64-bit),Normal,12.83  TB,12.83  TB,eagpvxnode01.ea.dii.state.vt.us,JupiterOld,
AGO-Troy,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,6.29  TB,6.26  TB,eagpvxnode06.ea.dii.state.vt.us,AGO-TROY.vsms.state.vt.us,
VCGIPRDAPP01,Powered On,5,36864,Microsoft Windows Server 2008 R2 (64-bit),Normal,10.48  TB,5.27  TB,eagpvxnode04.ea.dii.state.vt.us,VCGIPRDAPP01,
ERP-PSRECCAT02,Powered On,2,4096,Other (64-bit),Normal,8.1  TB,5.15  TB,eagpvxnode01.ea.dii.state.vt.us,psreccat02.erp.state.vt.us,
ANR-SATURN,Powered On,2,4096,Microsoft Windows Server 2016 (64-bit),Normal,5.08  TB,5.04  TB,eagpvxnode05.ea.dii.state.vt.us,SATURN.vtanr.state.vt.us,
ENT-EXCH,Powered On,4,8192,Microsoft Windows Server 2012 (64-bit),Normal,4.76  TB,4.53  TB,eagpvxnode12.ea.dii.state.vt.us,ENT-EXCH.vsms.state.vt.us,
EDU-FS2,Powered On,1,2048,Microsoft Windows Server 2008 R2 (64-bit),Normal,2.16  TB,2.16  TB,eagpvxnode05.ea.dii.state.vt.us,302-fs.edu.doe.state.vt.us,
EDU-FS1,Powered On,1,2048,Microsoft Windows Server 2008 R2 (64-bit),Normal,1.93  TB,1.93  TB,eagpvxnode11.ea.dii.state.vt.us,Doefiles.edu.doe.state.vt.us,
ERP-DBFMUAT2RAC02,Powered On,4,36864,Oracle Linux 4/5/6/7 (64-bit),Normal,1.92  TB,1.92  TB,eagpvxnode15.ea.dii.state.vt.us,dbfmuat2rac02.erp.state.vt.us,
ERP-DBFMUAT2RAC01,Powered On,4,36864,Oracle Linux 4/5/6/7 (64-bit),Normal,1.92  TB,1.92  TB,eagpvxnode16.ea.dii.state.vt.us,dbfmuat2rac01.erp.state.vt.us,
ERP-DBFMPRD02,Powered Off,4,36864,Oracle Linux 4/5/6/7 (64-bit),Normal,1.92  TB,1.79  TB,eagpvxnode13.ea.dii.state.vt.us,,
ERP-DBFMPRD01,Powered Off,4,36864,Oracle Linux 4/5/6/7 (64-bit),Normal,1.92  TB,1.79  TB,eagpvxnode03.ea.dii.state.vt.us,,
argus,Powered On,4,8192,SUSE Linux Enterprise 8/9 (32-bit),Normal,1.23  TB,1.23  TB,eagpvxnode01.ea.dii.state.vt.us,argus,
ERP-DBFMSIT01,Powered On,2,8192,Oracle Linux 4/5/6/7 (64-bit),Normal,1.06  TB,1.05  TB,eagpvxnode03.ea.dii.state.vt.us,dbfmsit01.erp.state.vt.us,
Spock,Powered On,4,12288,Microsoft Windows Server 2008 R2 (64-bit),Normal,1.32  TB,"1,011.47  GB",eagpvxnode06.ea.dii.state.vt.us,Spock.atg.state.vt.us,
ERP-FMPLG01-new,Powered On,4,32768,Oracle Linux 4/5/6/7 (64-bit),Normal,2.57  TB,949.01  GB,eagpvxnode06.ea.dii.state.vt.us,dbfmplg01.erp.state.vt.us,
JUD-Jury-DB01,Powered On,2,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,908.29  GB,841.69  GB,eagpvxnode01.ea.dii.state.vt.us,Jury-DB01,
ANR-TestSQL,Powered On,4,16384,Microsoft Windows Server 2012 (64-bit),Normal,826.16  GB,774.12  GB,eagpvxnode05.ea.dii.state.vt.us,TestSQL.vtanr.state.vt.us,
JUD-EFILE-APP01,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,1.02  TB,769.83  GB,eagpvxnode13.ea.dii.state.vt.us,EFILE-APP01,
JUD-BI,Powered On,1,3072,Microsoft Windows Server 2008 R2 (64-bit),Normal,703.18  GB,703.18  GB,eagpvxnode08.ea.dii.state.vt.us,JUD-DW-BI,
JUD-ONP-DB01,Powered On,6,32768,Microsoft Windows Server 2016 (64-bit),Normal,1.3  TB,671.89  GB,eagpvxnode13.ea.dii.state.vt.us,ONP-DB01.cms.crt.state.vt.us,
ERP-DNS05,Powered On,2,4096,Microsoft Windows Server 2016 (64-bit),Normal,834.19  GB,647.51  GB,eagpvxnode13.ea.dii.state.vt.us,ERP-DNS05.erp.state.vt.us,
Mater,Powered On,2,4096,SUSE Linux Enterprise 8/9 (32-bit),Normal,636.17  GB,614.2  GB,eagpvxnode06.ea.dii.state.vt.us,mater,
ACCD-DHCD,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,1.3  TB,612.38  GB,eagpvxnode01.ea.dii.state.vt.us,ACCD-DHCD.vsms.state.vt.us,
ENT-IEM-CORE,Powered On,8,20480,Microsoft Windows Server 2016 (64-bit),Normal,1.24  TB,609.03  GB,eagpvxnode10.ea.dii.state.vt.us,ENT-IEM-CORE.vsms.state.vt.us,
ACCD-DHCD-PFS,Powered Off,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,724.18  GB,597.93  GB,eagpvxnode12.ea.dii.state.vt.us,,
VTADS-Thyme,Powered On,2,4096,Red Hat Enterprise Linux 6 (64-bit),Normal,784.18  GB,596.02  GB,eagpvxnode08.ea.dii.state.vt.us,thyme.crt.state.vt.us,
ENT-LDMS-Core,Powered On,4,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,568.19  GB,567.57  GB,eagpvxnode02.ea.dii.state.vt.us,ENT-LDMS-Core.vsms.state.vt.us,
EDU-DKR-01,Powered On,1,524196,Other Linux (64-bit),Normal,562.07  GB,562.07  GB,eagpvxnode10.ea.dii.state.vt.us,edu-dkr-01.localdomain,
JUD-DW-Dev,Powered On,2,4096,Microsoft Windows Server 2008 (32-bit),Normal,1.03  TB,463.92  GB,eagpvxnode10.ea.dii.state.vt.us,JUD-DW-Dev,
ENT-SP-SQL,Powered On,2,7168,Microsoft Windows Server 2012 (64-bit),Normal,874.62  GB,443.31  GB,eagpvxnode10.ea.dii.state.vt.us,ENT-SP-SQL.vsms.state.vt.us,
ENT-IEM-SQL,Powered On,8,32768,Microsoft Windows Server 2016 (64-bit),Normal,482.19  GB,434.23  GB,eagpvxnode16.ea.dii.state.vt.us,ENT-IEM-SQL.vsms.state.vt.us,
VDOL-IUS-DEV-DB,Powered On,4,18432,Microsoft Windows Server 2016 (64-bit),Normal,1.06  TB,417.43  GB,eagpvxnode08.ea.dii.state.vt.us,VDOL-IUS-DEV-DB.labor1.labor.state.vt.us,
JUD-DW-Prod,Powered On,2,4096,Microsoft Windows Server 2008 (32-bit),Normal,1.03  TB,401.51  GB,eagpvxnode11.ea.dii.state.vt.us,JUD-DW-Prod,
AGR-DBProd2012,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,369.18  GB,366.81  GB,eagpvxnode04.ea.dii.state.vt.us,AGR-DBProd2012.vsms.state.vt.us,
ANR-testweb,Powered On,1,8192,Microsoft Windows Server 2012 (64-bit),Normal,388.16  GB,351.57  GB,eagpvxnode10.ea.dii.state.vt.us,testweb.vtanr.state.vt.us,
PSBD-ProdSQL1,Powered On,8,32768,Microsoft Windows Server 2008 R2 (64-bit),Normal,362.19  GB,321.19  GB,eagpvxnode15.ea.dii.state.vt.us,PSBD-PRODSQL1.vsms.state.vt.us,
VTADS-Slothrup,Powered On,2,6144,Red Hat Enterprise Linux 6 (64-bit),Normal,446.18  GB,315.02  GB,eagpvxnode07.ea.dii.state.vt.us,slothrup.crt.state.vt.us,
E911-DC1,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,404.18  GB,297.09  GB,eagpvxnode03.ea.dii.state.vt.us,E911-BRDSRVNL.e911brd.state.vt.us,
VTADS-Rosemary,Powered On,2,6144,Red Hat Enterprise Linux 6 (64-bit),Alert,326.18  GB,288.43  GB,eagpvxnode04.ea.dii.state.vt.us,rosemary.crt.state.vt.us,
JUD-FS02,Powered On,2,4096,Microsoft Windows Server 2012 (64-bit),Normal,304.18  GB,275.89  GB,eagpvxnode16.ea.dii.state.vt.us,JUD-FS02.crt.state.vt.us,
VTADS-Sage,Powered On,2,6144,Red Hat Enterprise Linux 6 (64-bit),Normal,326.18  GB,273.35  GB,eagpvxnode06.ea.dii.state.vt.us,sage.crt.state.vt.us,
VTADS-Parsley,Powered On,2,6144,Red Hat Enterprise Linux 6 (64-bit),Normal,326.18  GB,269.92  GB,eagpvxnode03.ea.dii.state.vt.us,parsley.crt.state.vt.us,
VTADS-Nutmeg,Powered On,2,6144,Red Hat Enterprise Linux 6 (64-bit),Normal,326.18  GB,269.24  GB,eagpvxnode02.ea.dii.state.vt.us,nutmeg.crt.state.vt.us,
VTADS-Ginger,Powered On,2,6144,Red Hat Enterprise Linux 6 (64-bit),Normal,326.18  GB,268.41  GB,eagpvxnode15.ea.dii.state.vt.us,ginger.crt.state.vt.us,
VTADS-Saffron,Powered On,2,6144,Red Hat Enterprise Linux 6 (64-bit),Normal,326.18  GB,267.52  GB,eagpvxnode01.ea.dii.state.vt.us,saffron.crt.state.vt.us,
ENT-WSUS,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,554.18  GB,267.27  GB,eagpvxnode02.ea.dii.state.vt.us,ENT-WSUS.vsms.state.vt.us,
JUD-OP-DBJ1,Powered On,2,14336,Microsoft Windows Server 2016 (64-bit),Normal,1.05  TB,263.05  GB,eagpvxnode08.ea.dii.state.vt.us,OP-DBJ1.cms.crt.state.vt.us,
ENT-Footprints-2003,Powered On,2,4096,Microsoft Windows Server 2003 (64-bit),Normal,277.56  GB,254.15  GB,eagpvxnode01.ea.dii.state.vt.us,ent-footprints.vsms.state.vt.us,
E911-GIS,Powered On,4,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,238.19  GB,236.44  GB,eagpvxnode04.ea.dii.state.vt.us,E911-GISSRVNL.e911brd.state.vt.us,
E911-AGSNL,Powered On,4,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,238.19  GB,235.85  GB,eagpvxnode02.ea.dii.state.vt.us,E911-AGSNL.e911brd.state.vt.us,
302-sharebackup,Powered On,2,2048,Microsoft Windows Server 2003 (32-bit),Normal,232.16  GB,231.59  GB,eagpvxnode03.ea.dii.state.vt.us,,
PSBD-DevSql1,Powered On,4,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,338.19  GB,229.59  GB,eagpvxnode14.ea.dii.state.vt.us,PSBD-DEVSQL1.vsms.state.vt.us,
VCGIPRDDB02,Powered On,2,4096,Microsoft Windows Server 2012 (64-bit),Normal,479.9  GB,219.91  GB,eagpvxnode09.ea.dii.state.vt.us,VCGIPRDDB02,
vcgi-geocortex-dev,Powered On,2,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,480.11  GB,215.39  GB,eagpvxnode08.ea.dii.state.vt.us,geocortex-dev,
ACCD-SQL-Prod,Powered On,4,6144,Microsoft Windows Server 2008 R2 (64-bit),Normal,391.99  GB,197  GB,eagpvxnode02.ea.dii.state.vt.us,ACCD-SQL-Prod.vsms.state.vt.us,
ACCD-SQL-Prod-PFS,Powered Off,4,6144,Microsoft Windows Server 2008 R2 (64-bit),Normal,201.18  GB,189.7  GB,eagpvxnode07.ea.dii.state.vt.us,,
vcgi-geocortex-prd,Powered On,2,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,278.18  GB,173.68  GB,eagpvxnode12.ea.dii.state.vt.us,geocortex-prd,
EDU-SQLAnalysis,Powered On,2,8192,Microsoft Windows Server 2012 (64-bit),Normal,388.18  GB,170.94  GB,eagpvxnode11.ea.dii.state.vt.us,EDU-SQLAnalysis.edu.doe.state.vt.us,
JUD-vciconnect,Powered On,1,6144,Red Hat Enterprise Linux 6 (64-bit),Normal,186.18  GB,170.86  GB,eagpvxnode16.ea.dii.state.vt.us,vciconnect.crt.state.vt.us,
ENT-LDSD-UAT,Powered On,2,16384,Microsoft Windows Server 2008 R2 (64-bit),Normal,226.18  GB,169.95  GB,eagpvxnode04.ea.dii.state.vt.us,ENT-LDSD-UAT.vsms.state.vt.us,
ENT-SP-APP,Powered On,2,12288,Microsoft Windows Server 2012 (64-bit),Normal,343.78  GB,166.42  GB,eagpvxnode05.ea.dii.state.vt.us,ENT-SP-APP.vsms.state.vt.us,
JUD-BradConsole,Powered On,3,3072,Microsoft Windows 7 (64-bit),Normal,163.18  GB,162.78  GB,eagpvxnode04.ea.dii.state.vt.us,Brad-Console,
VCGIPRDWEB01,Powered On,1,3072,Microsoft Windows Server 2008 R2 (64-bit),Normal,314.82  GB,154.84  GB,eagpvxnode06.ea.dii.state.vt.us,VCGIPRDWEB01,
JUD-APP01,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,154.18  GB,152.85  GB,eagpvxnode10.ea.dii.state.vt.us,JUD-APP01.crt.state.vt.us,
AGO-Voyager,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,154.18  GB,152.79  GB,eagpvxnode07.ea.dii.state.vt.us,AGO-Voyager.atg.state.vt.us,
SAS-RICOH,Powered On,4,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,258.19  GB,150.62  GB,eagpvxnode03.ea.dii.state.vt.us,SAS-RICOH.vsms.state.vt.us,
ENT-ADAUDIT,Powered On,1,3072,Microsoft Windows Server 2008 R2 (64-bit),Normal,233.18  GB,145.48  GB,eagpvxnode16.ea.dii.state.vt.us,ENT-ADAudit.vsms.state.vt.us,
ACCD-SQL-QA,Powered On,2,2048,Microsoft Windows Server 2008 R2 (64-bit),Warning,307.82  GB,142.82  GB,eagpvxnode03.ea.dii.state.vt.us,ACCD-SQL-QA.vsms.state.vt.us,
ACCD-SQL-QA-PFS,Powered Off,2,2048,Microsoft Windows Server 2008 R2 (64-bit),Normal,167.2  GB,139.35  GB,eagpvxnode02.ea.dii.state.vt.us,,
ANR-TestSP,Powered On,3,14336,Microsoft Windows Server 2008 R2 (64-bit),Normal,134.18  GB,133.97  GB,eagpvxnode08.ea.dii.state.vt.us,TestSP.vtanr.state.vt.us,
ENT-SP-WEB,Powered On,2,7168,Microsoft Windows Server 2012 (64-bit),Normal,282.45  GB,132.5  GB,eagpvxnode11.ea.dii.state.vt.us,ENT-SP-WEB.vsms.state.vt.us,
ABDEVAPP01,Powered On,2,12288,Oracle Linux 4/5/6/7 (64-bit),Normal,132.18  GB,132.18  GB,eagpvxnode08.ea.dii.state.vt.us,abdevapp01.erp.state.vt.us,
ANR-MARS,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,328.18  GB,128.29  GB,eagpvxnode06.ea.dii.state.vt.us,MARS.vtanr.state.vt.us,
ACCDDEV,Powered On,2,2048,Microsoft Windows Server 2012 (64-bit),Normal,257.03  GB,127.05  GB,eagpvxnode12.ea.dii.state.vt.us,ACCDDEV.vsms.state.vt.us,
AGR-DBTest2012,Powered On,2,3072,Microsoft Windows Server 2008 R2 (64-bit),Normal,143.18  GB,125.64  GB,eagpvxnode11.ea.dii.state.vt.us,AGR-DBTest2012.vsms.state.vt.us,
JUD-IMProxy,Powered On,2,4096,Red Hat Enterprise Linux 6 (64-bit),Normal,164.18  GB,125.26  GB,eagpvxnode03.ea.dii.state.vt.us,imserver.crt.state.vt.us,
ACCDDEV-PFS,Powered Off,2,2048,Microsoft Windows Server 2012 (64-bit),Normal,132.16  GB,122.77  GB,eagpvxnode05.ea.dii.state.vt.us,,
PSB-ProEcrtWeb1,Powered On,6,16384,Microsoft Windows Server 2008 R2 (64-bit),Normal,136.19  GB,122.25  GB,eagpvxnode16.ea.dii.state.vt.us,PSB-PROECRTWEB1.vsms.state.vt.us,
ERP-ES01,Powered On,2,32768,Oracle Linux 4/5/6/7 (64-bit),Normal,312.19  GB,120.86  GB,eagpvxnode10.ea.dii.state.vt.us,es01.erp.state.vt.us,
ERP-ES02,Powered On,2,32768,Oracle Linux 4/5/6/7 (64-bit),Normal,312.19  GB,117.66  GB,eagpvxnode07.ea.dii.state.vt.us,es02.erp.state.vt.us,
EDU-VTCLIM,Powered On,8,16384,Ubuntu Linux (64-bit),Normal,116.17  GB,116.17  GB,eagpvxnode12.ea.dii.state.vt.us,,
ENT-SEP,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,114.18  GB,114.03  GB,eagpvxnode08.ea.dii.state.vt.us,ENT-SEP.vsms.state.vt.us,
AGR-Milk,Powered On,2,2048,Red Hat Enterprise Linux 5 (32-bit),Normal,184.94  GB,113.39  GB,eagpvxnode07.ea.dii.state.vt.us,vtagr03.agr.state.vt.us,
ERP-FMUAT2APP01,Powered On,4,12288,Oracle Linux 4/5/6/7 (64-bit),Normal,112.19  GB,112.19  GB,eagpvxnode13.ea.dii.state.vt.us,fmuat2app01.erp.state.vt.us,
AGR-DBTest2008,Powered On,1,3072,Microsoft Windows Server 2008 R2 (64-bit),Normal,144.18  GB,110.95  GB,eagpvxnode10.ea.dii.state.vt.us,AGR-DBTEST2008.vsms.state.vt.us,
EDU-SQL,Powered On,2,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,128.18  GB,107.86  GB,eagpvxnode16.ea.dii.state.vt.us,EDU-SQL.edu.doe.state.vt.us,
ERP-FMUAT2WEB01,Powered On,2,6144,Oracle Linux 4/5/6/7 (64-bit),Normal,106.18  GB,106.18  GB,eagpvxnode09.ea.dii.state.vt.us,fmuat2web01.erp.state.vt.us,
ERP-BIGIPVE02,Powered On,2,8192,Other 3.x or later Linux (64-bit),Normal,106.17  GB,106.17  GB,eagpvxnode11.ea.dii.state.vt.us,bigipve02.erp.state.vt.us,
ERP-BIGIPVE01,Powered On,2,8192,Other 3.x or later Linux (64-bit),Normal,106.17  GB,106.17  GB,eagpvxnode07.ea.dii.state.vt.us,bigipve01.erp.state.vt.us,
JUD-AV01,Powered On,1,2048,Microsoft Windows Server 2008 R2 (64-bit),Normal,102.18  GB,102.18  GB,eagpvxnode06.ea.dii.state.vt.us,JUD-AV01.crt.state.vt.us,
ENT-LDSD-Web,Powered On,2,12288,Microsoft Windows Server 2008 R2 (64-bit),Normal,112.18  GB,102.08  GB,eagpvxnode01.ea.dii.state.vt.us,ENT-LDSD-Web.vsms.state.vt.us,
PSB-ProEcrtApp1,Powered On,8,32768,Microsoft Windows Server 2008 R2 (64-bit),Normal,192.19  GB,101.45  GB,eagpvxnode02.ea.dii.state.vt.us,PSB-PROECRTApp1.vsms.state.vt.us,
JUD-App03,Powered On,1,2048,Microsoft Windows Server 2008 R2 (64-bit),Normal,122.18  GB,98.69  GB,eagpvxnode03.ea.dii.state.vt.us,JUD-App03.crt.state.vt.us,
PSB-DevEcrtApp1,Powered On,4,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,179.19  GB,98.45  GB,eagpvxnode08.ea.dii.state.vt.us,PSB-DEVECRTAPP1.vsms.state.vt.us,
ERP-BUDDBDEV01,Powered On,2,8192,Red Hat Enterprise Linux 7 (64-bit),Normal,288.18  GB,98.18  GB,eagpvxnode04.ea.dii.state.vt.us,buddbdev01.erp.state.vt.us,
AGR-ProdDB02,Powered On,1,2048,Microsoft Windows Server 2008 R2 (64-bit),Normal,127.18  GB,96.67  GB,eagpvxnode05.ea.dii.state.vt.us,AGR-ProdDB02.vsms.state.vt.us,
ENT-LDSD-App,Powered On,2,6144,Microsoft Windows Server 2008 R2 (64-bit),Normal,106.18  GB,96.27  GB,eagpvxnode03.ea.dii.state.vt.us,ENT-LDSD-App.vsms.state.vt.us,
JUD-OP-DB01,Powered On,6,32768,Microsoft Windows Server 2016 (64-bit),Normal,1.11  TB,94.7  GB,eagpvxnode06.ea.dii.state.vt.us,OP-DB01.cms.crt.state.vt.us,
PSBD-ProdFiles1,Powered On,4,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,228.19  GB,94.52  GB,eagpvxnode03.ea.dii.state.vt.us,PSBD-PRODFILES1.vsms.state.vt.us,
PSBD-ProEcMapp1,Powered On,4,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,128.19  GB,94.05  GB,eagpvxnode06.ea.dii.state.vt.us,PSBD-PROECMAPP1.vsms.state.vt.us,
PSBD-DevEcMapp1,Powered On,4,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,438.19  GB,92.55  GB,eagpvxnode11.ea.dii.state.vt.us,PSBD-DEVECMAPP1.vsms.state.vt.us,
EDU-DC1,Powered On,1,2048,Microsoft Windows Server 2008 R2 (64-bit),Normal,102.18  GB,92.06  GB,eagpvxnode04.ea.dii.state.vt.us,EDU-DC1.edu.doe.state.vt.us,
JUD-AV02,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,124.18  GB,91.82  GB,eagpvxnode07.ea.dii.state.vt.us,JUD-AV02.crt.state.vt.us,
JUD-Logs,Powered On,2,4096,Red Hat Enterprise Linux 6 (64-bit),Normal,244.18  GB,91.22  GB,eagpvxnode10.ea.dii.state.vt.us,helpdesk.crt.state.vt.us,
Jud-DC01,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,104.18  GB,91.17  GB,eagpvxnode03.ea.dii.state.vt.us,Jud-DC01.crt.state.vt.us,
JUD-Tyler03,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,508.18  GB,89.42  GB,eagpvxnode15.ea.dii.state.vt.us,Tyler03.cms.crt.state.vt.us,
JUD-ECabinet-PreProduction,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,104.28  GB,88.87  GB,eagpvxnode14.ea.dii.state.vt.us,ECabinet-PreProduction,
ACCD-CMS,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,167.73  GB,88.19  GB,eagpvxnode05.ea.dii.state.vt.us,ACCD-CMS.vsms.state.vt.us,
VCGIDEVAPP01,Powered On,2,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,88.19  GB,87.93  GB,eagpvxnode05.ea.dii.state.vt.us,VCGIDEVAPP01,
BGS-SIEMENS,Powered On,2,16384,Microsoft Windows Server 2016 (64-bit),Normal,1.02  TB,87.83  GB,eagpvxnode09.ea.dii.state.vt.us,BGS-SIEMENS.vsms.state.vt.us,
ENT-DCVSMS01,Powered On,2,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,88.19  GB,84.71  GB,eagpvxnode06.ea.dii.state.vt.us,ENT-DCVSMS01.vsms.state.vt.us,
ACCD-CDS,Powered On,2,2048,Microsoft Windows Server 2008 R2 (64-bit),Normal,163.76  GB,84.19  GB,eagpvxnode06.ea.dii.state.vt.us,ACCD-CDS.vsms.state.vt.us,
JUD-Jury-APP01,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,84.18  GB,83.01  GB,eagpvxnode04.ea.dii.state.vt.us,Jury-APP01,
EDU-IES4,Powered On,3,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,88.18  GB,82.72  GB,eagpvxnode11.ea.dii.state.vt.us,EDU-IES4.edu.doe.state.vt.us,
LIST,Powered On,2,2048,CentOS 4/5/6/7 (64-bit),Normal,82.16  GB,82.16  GB,eagpvxnode11.ea.dii.state.vt.us,aoe.edu.doe.state.vt.us,
JUD-OP-DB02,Powered On,6,32768,Microsoft Windows Server 2016 (64-bit),Normal,1.11  TB,81.92  GB,eagpvxnode06.ea.dii.state.vt.us,OP-DB02.cms.crt.state.vt.us,
ACCD-CMS-PFS,Powered Off,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,84.18  GB,79.56  GB,eagpvxnode05.ea.dii.state.vt.us,,
ACCD-CDS-PFS,Powered Off,2,2048,Microsoft Windows Server 2008 R2 (64-bit),Normal,82.18  GB,79.55  GB,eagpvxnode12.ea.dii.state.vt.us,,
AGR-IFProd2008,Powered On,1,2048,Microsoft Windows Server 2008 R2 (64-bit),Normal,102.18  GB,79.16  GB,eagpvxnode01.ea.dii.state.vt.us,AGR-IFPROD2008.vsms.state.vt.us,
JUD-EFILE-DB01,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,264.18  GB,78.75  GB,eagpvxnode14.ea.dii.state.vt.us,EFILE-DB01.eservices.crt.state.vt.us,
Jud-DC02,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,104.18  GB,77.73  GB,eagpvxnode04.ea.dii.state.vt.us,Jud-DC02.crt.state.vt.us,
ENT-AADSync,Powered On,2,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,108.19  GB,77.17  GB,eagpvxnode09.ea.dii.state.vt.us,ENT-AADSync.vsms.state.vt.us,
EDU-DC2,Powered On,1,2048,Microsoft Windows Server 2008 R2 (64-bit),Normal,102.18  GB,76.29  GB,eagpvxnode02.ea.dii.state.vt.us,EDU-DC2.edu.doe.state.vt.us,
AGR-OFWQ2012,Powered On,2,8192,Microsoft Windows Server 2012 (64-bit),Normal,258.18  GB,74.72  GB,eagpvxnode01.ea.dii.state.vt.us,AGR-OFWQ2012.vsms.state.vt.us,
JUD-APP05,Powered On,2,3072,Microsoft Windows Server 2008 R2 (64-bit),Normal,83.18  GB,74.23  GB,eagpvxnode01.ea.dii.state.vt.us,JUD-APP05.crt.state.vt.us,
ERP-FMSITWEB01,Powered On,2,6144,Oracle Linux 4/5/6/7 (64-bit),Normal,84.7  GB,72.89  GB,eagpvxnode07.ea.dii.state.vt.us,fmsitweb01.erp.state.vt.us,
JUD-OP-IMG01,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,778.18  GB,71.38  GB,eagpvxnode01.ea.dii.state.vt.us,OP-IMG01.cms.crt.state.vt.us,
JUD-APP04,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,84.18  GB,71.21  GB,eagpvxnode04.ea.dii.state.vt.us,JUD-APP04.crt.state.vt.us,
ERP-SPLUNK,Powered On,2,4096,Other Linux (64-bit),Normal,104.16  GB,70.99  GB,eagpvxnode13.ea.dii.state.vt.us,splunk,
JUD-ONP-DB02,Powered On,6,32768,Microsoft Windows Server 2016 (64-bit),Normal,632.19  GB,69.42  GB,eagpvxnode14.ea.dii.state.vt.us,ONP-DB02.cms.crt.state.vt.us,
ERP-FMSITAPP01,Powered On,2,8192,Oracle Linux 4/5/6/7 (64-bit),Normal,88.19  GB,68.54  GB,eagpvxnode11.ea.dii.state.vt.us,fmsitapp01.erp.state.vt.us,
PSD-ProEcrtApp1,Powered On,4,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,128.19  GB,68.37  GB,eagpvxnode04.ea.dii.state.vt.us,PSD-PROECRTApp1.vsms.state.vt.us,
PSD-DevEcrtApp1,Powered On,4,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,128.19  GB,68.21  GB,eagpvxnode13.ea.dii.state.vt.us,PSD-DEVECRTAPP1.vsms.state.vt.us,
JUD-DR-OP-DB01,Powered On,6,32768,Microsoft Windows Server 2016 (64-bit),Normal,1.11  TB,67.13  GB,eagpvxnode08.ea.dii.state.vt.us,WIN-2JOIPHN7TB7,
JUD-Tyler02,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,508.18  GB,67.05  GB,eagpvxnode13.ea.dii.state.vt.us,Tyler02.cms.crt.state.vt.us,
JUD-Tyler01,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,508.18  GB,67.03  GB,eagpvxnode13.ea.dii.state.vt.us,Tyler01.cms.crt.state.vt.us,
ERP-BIDEVAPP01,Powered On,2,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,128.18  GB,66.11  GB,eagpvxnode07.ea.dii.state.vt.us,BIDEVAPP01.erp.state.vt.us,
