Name,State,CPUs,Memory Size (MB),Guest OS,Status,Provisioned Space,Used Space,Host,DNS Name,Managed By
ERP-FMPRDWEB01,Powered Off,2,6144,Oracle Linux 4/5/6/7 (64-bit),Normal,106.18  GB,44.86  GB,eagpvxnode05.ea.dii.state.vt.us,,
JUD-ONP-TEST-EFILE01,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,128.18  GB,44.85  GB,eagpvxnode05.ea.dii.state.vt.us,ONP-TEST-EFILE01.cms.crt.state.vt.us,
Gruyere,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,174.18  GB,44.81  GB,eagpvxnode14.ea.dii.state.vt.us,Gruyere-MPDB.edu.doe.state.vt.us,
doepie1,Powered On,2,4096,SUSE Linux Enterprise 8/9 (32-bit),Normal,84.17  GB,44.66  GB,eagpvxnode01.ea.dii.state.vt.us,doepie1,
JUD-OP-JOB02,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,108.18  GB,44.19  GB,eagpvxnode05.ea.dii.state.vt.us,OP-JOB02.cms.crt.state.vt.us,
VDOL-IUS-DEV-WEB,Powered On,2,4096,Microsoft Windows Server 2016 (64-bit),Normal,284.18  GB,44.19  GB,eagpvxnode12.ea.dii.state.vt.us,VDOL-IUS-DEV-WEB,
JUD-OP-FS01,Powered On,4,8192,Microsoft Windows Server 2016 (64-bit),Normal,108.19  GB,44.16  GB,eagpvxnode03.ea.dii.state.vt.us,OP-FS01.cms.crt.state.vt.us,
JUD-OP-JOB01,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,108.18  GB,44.14  GB,eagpvxnode15.ea.dii.state.vt.us,OP-JOB01.cms.crt.state.vt.us,
JUD-OP-APP02,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,108.18  GB,44.13  GB,eagpvxnode11.ea.dii.state.vt.us,OP-APP02.cms.crt.state.vt.us,
JUD-OP-INT01,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,108.18  GB,44.13  GB,eagpvxnode07.ea.dii.state.vt.us,OP-INT01.cms.crt.state.vt.us,
JUD-OP-INT02,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,108.18  GB,44.13  GB,eagpvxnode02.ea.dii.state.vt.us,OP-INT02.cms.crt.state.vt.us,
JUD-ONP-TRAIN-APP01,Powered On,4,8192,Microsoft Windows Server 2016 (64-bit),Normal,208.18  GB,44.12  GB,eagpvxnode01.ea.dii.state.vt.us,ONP-TRAIN-APP01.cms.crt.state.vt.us,
ENT-VPN01,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,108.18  GB,43.78  GB,eagpvxnode12.ea.dii.state.vt.us,ENT-VPN01.vsms.state.vt.us,
doepas1,Powered On,1,1024,SUSE Linux Enterprise 8/9 (32-bit),Normal,81.17  GB,43.75  GB,eagpvxnode02.ea.dii.state.vt.us,doepas1,
ERP-FMSBX1APP01,Powered Off,4,12288,Oracle Linux 4/5/6/7 (64-bit),Normal,112.18  GB,43.65  GB,eagpvxnode08.ea.dii.state.vt.us,,
ERP-FMPRDAPP01,Powered Off,4,12288,Oracle Linux 4/5/6/7 (64-bit),Normal,112.18  GB,43.65  GB,eagpvxnode16.ea.dii.state.vt.us,,
ERP-FMPRDAPP02,Powered Off,4,12288,Oracle Linux 4/5/6/7 (64-bit),Normal,112.18  GB,43.65  GB,eagpvxnode02.ea.dii.state.vt.us,,
ENT-MBAM,Powered On,1,12288,Microsoft Windows Server 2012 (64-bit),Normal,62.18  GB,43.5  GB,eagpvxnode06.ea.dii.state.vt.us,ENT-MBAM.vsms.state.vt.us,
ANR-TestSearch,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,83.18  GB,43.23  GB,eagpvxnode07.ea.dii.state.vt.us,ANR-TestSearch.vtanr.state.vt.us,
Call-APP01-01,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,808.18  GB,43.22  GB,eagpvxnode15.ea.dii.state.vt.us,WIN-I5N51363T6K,
Call-HS3-VOIP-01,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,288.18  GB,43.22  GB,eagpvxnode13.ea.dii.state.vt.us,WIN-51TO7VEE3CG,
Call-DB2-VOIP-01,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,608.18  GB,43.22  GB,eagpvxnode07.ea.dii.state.vt.us,WIN-5BQ56B9M242,
JUD-OP-APP03,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,108.18  GB,43.12  GB,eagpvxnode08.ea.dii.state.vt.us,OP-APP03.cms.crt.state.vt.us,
ENT-VPN02,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,108.18  GB,43.12  GB,eagpvxnode15.ea.dii.state.vt.us,ENT-VPN02.vsms.state.vt.us,
ENT-ISM-APP,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,108.18  GB,43.12  GB,eagpvxnode04.ea.dii.state.vt.us,WIN-RCCMN13GG65,
ENT-ISM-WEB,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,108.18  GB,43.12  GB,eagpvxnode11.ea.dii.state.vt.us,WIN-DLG0CH0I1LF,
ENT-ISM-REP,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,108.18  GB,43.12  GB,eagpvxnode08.ea.dii.state.vt.us,WIN-5EP696DNE6U,
ANR-JUPITER2,Powered On,2,6144,Microsoft Windows Server 2016 (64-bit),Warning,7.09  TB,43.08  GB,eagpvxnode16.ea.dii.state.vt.us,JUPITER2.vtanr.state.vt.us,
JUD-OP-IMG02,Powered On,4,8192,Microsoft Windows Server 2016 (64-bit),Normal,708.19  GB,42.97  GB,eagpvxnode11.ea.dii.state.vt.us,OP-IMG02.cms.crt.state.vt.us,
JUD-OP-FS02,Powered On,4,8192,Microsoft Windows Server 2016 (64-bit),Normal,108.19  GB,42.81  GB,eagpvxnode11.ea.dii.state.vt.us,OP-FS02.cms.crt.state.vt.us,
ENT-DCVSMS04,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,88.18  GB,42.8  GB,eagpvxnode05.ea.dii.state.vt.us,ENT-DCVSMS04.vsms.state.vt.us,
JUD-OP-ELS02,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,158.18  GB,42.77  GB,eagpvxnode14.ea.dii.state.vt.us,OP-ELS02.cms.crt.state.vt.us,
JUD-Jury-WEBold,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,54.28  GB,42.43  GB,eagpvxnode08.ea.dii.state.vt.us,Jury-Web01-OLD,
ANR-TestApps,Powered On,1,4096,Microsoft Windows Server 2016 (64-bit),Normal,134.18  GB,42.15  GB,eagpvxnode11.ea.dii.state.vt.us,TESTAPPS.vtanr.state.vt.us,
ENT-DCNET02,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,88.18  GB,41.8  GB,eagpvxnode01.ea.dii.state.vt.us,ENT-DCNET02.net.state.vt.us,
JUD-CMS-DC01,Powered On,1,4096,Microsoft Windows Server 2016 (64-bit),Normal,54.18  GB,41.63  GB,eagpvxnode01.ea.dii.state.vt.us,CMS-DC001.cms.crt.state.vt.us,
JUD-CMS-DC02,Powered On,1,4096,Microsoft Windows Server 2016 (64-bit),Normal,54.18  GB,41.62  GB,eagpvxnode02.ea.dii.state.vt.us,CMS-DC002.cms.crt.state.vt.us,
VDOL-IUS-TST-WEB,Powered On,2,4096,Microsoft Windows Server 2016 (64-bit),Normal,284.18  GB,41.58  GB,eagpvxnode07.ea.dii.state.vt.us,VDOL-IUS-TST-WEB,
EDU-EDE-DEV,Powered On,2,6144,Microsoft Windows Server 2016 (64-bit),Normal,156.18  GB,41.22  GB,eagpvxnode05.ea.dii.state.vt.us,WIN-S7HG049EL73,
EDU-EDE-SQLDEV,Powered On,2,6144,Microsoft Windows Server 2016 (64-bit),Normal,"1,006.18  GB",41.12  GB,eagpvxnode11.ea.dii.state.vt.us,WIN-75908F77JCP,
EDU-EDE-SQLPRD,Powered On,2,6144,Microsoft Windows Server 2016 (64-bit),Normal,"1,006.18  GB",41.12  GB,eagpvxnode08.ea.dii.state.vt.us,WIN-IH0O48UHGEQ,
JUD-ONP-TRAIN-INT01,Powered On,4,8192,Microsoft Windows Server 2016 (64-bit),Normal,208.18  GB,40.97  GB,eagpvxnode06.ea.dii.state.vt.us,ONP-TRAIN-INT01.cms.crt.state.vt.us,
JUD-TYLER-DC02,Powered On,2,4096,Microsoft Windows Server 2016 (64-bit),Normal,184.18  GB,40.83  GB,eagpvxnode14.ea.dii.state.vt.us,CMS-DC04,
JUD-LogicMon,Powered On,1,1024,Microsoft Windows Server 2008 R2 (64-bit),Normal,51.18  GB,40.76  GB,eagpvxnode10.ea.dii.state.vt.us,LogicMon.crt.state.vt.us,
ERP-DNS06,Powered On,2,4096,Microsoft Windows Server 2016 (64-bit),Normal,84.19  GB,40.69  GB,eagpvxnode03.ea.dii.state.vt.us,ERP-DNS06.erp.state.vt.us,
ADS-CTODEVWIN,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,58.18  GB,40.4  GB,eagpvxnode04.ea.dii.state.vt.us,WIN-O6HQ0FP5PO3,
JUD-OP-APP01,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,108.18  GB,40.31  GB,eagpvxnode08.ea.dii.state.vt.us,OP-APP01.cms.crt.state.vt.us,
JUD-ONP-TRAINA-APPJOB01,Powered On,4,8192,Microsoft Windows Server 2016 (64-bit),Normal,158.19  GB,40.3  GB,eagpvxnode07.ea.dii.state.vt.us,ONP-TRAINA-APPJOB01.cms.crt.state.vt.us,
JUD-ONP-TESTA-PORT01,Powered On,4,8192,Microsoft Windows Server 2016 (64-bit),Normal,158.19  GB,40.3  GB,eagpvxnode15.ea.dii.state.vt.us,ONP-TESTA-PORT01.cms.crt.state.vt.us,
JUD-ONP-TRAINA-INT01,Powered On,4,8192,Microsoft Windows Server 2016 (64-bit),Normal,158.19  GB,40.3  GB,eagpvxnode07.ea.dii.state.vt.us,ONP-TRAINA-INT01.cms.crt.state.vt.us,
JUD-ONP-TESTA-APP01,Powered On,4,8192,Microsoft Windows Server 2016 (64-bit),Normal,158.19  GB,40.3  GB,eagpvxnode15.ea.dii.state.vt.us,ONP-TESTA-APP01.cms.crt.state.vt.us,
JUD-ONP-TESTA-ELS01,Powered On,4,8192,Microsoft Windows Server 2016 (64-bit),Normal,158.19  GB,40.3  GB,eagpvxnode11.ea.dii.state.vt.us,ONP-TESTA-ELS01.cms.crt.state.vt.us,
JUD-ONP-TESTA-INT01,Powered On,4,8192,Microsoft Windows Server 2016 (64-bit),Normal,158.19  GB,40.3  GB,eagpvxnode02.ea.dii.state.vt.us,ONP-TESTA-INT01.cms.crt.state.vt.us,
JUD-DR-OP-IMG01,Powered On,4,8192,Microsoft Windows Server 2016 (64-bit),Normal,708.18  GB,40.25  GB,eagpvxnode11.ea.dii.state.vt.us,WIN-7V1KKIAHK48,
JUD-DR-OP-FS01,Powered On,4,8192,Microsoft Windows Server 2016 (64-bit),Normal,108.18  GB,40.25  GB,eagpvxnode01.ea.dii.state.vt.us,WIN-8BUCMLPSA3T,
JUD-DR-OP-APPJW02,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,108.18  GB,40.25  GB,eagpvxnode08.ea.dii.state.vt.us,WIN-NRLCTMA19EC,
JUD-DR-OP-APPJW01,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,108.18  GB,40.25  GB,eagpvxnode01.ea.dii.state.vt.us,WIN-30257GNFEIL,
JUD-DR-OP-ELS01,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,158.18  GB,40.25  GB,eagpvxnode08.ea.dii.state.vt.us,WIN-DJKP3CERNQV,
JUD-DR-OP-INT01,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,108.18  GB,40.25  GB,eagpvxnode08.ea.dii.state.vt.us,WIN-PVHLA8M0NIG,
ENT-CA,Powered On,2,4096,Microsoft Windows Server 2016 (64-bit),Normal,74.18  GB,40.05  GB,eagpvxnode03.ea.dii.state.vt.us,ENT-CA.vsms.state.vt.us,
blkpearl,Powered On,1,2048,SUSE Linux Enterprise 8/9 (32-bit),Normal,82.17  GB,39.74  GB,eagpvxnode14.ea.dii.state.vt.us,blkpearl,
VVH-ScanDent,Powered On,1,2048,Ubuntu Linux (32-bit),Normal,42.22  GB,39.68  GB,eagpvxnode13.ea.dii.state.vt.us,,
Call-DC02-01,Powered On,2,4096,Microsoft Windows Server 2016 (64-bit),Normal,284.18  GB,39.22  GB,eagpvxnode02.ea.dii.state.vt.us,WIN-8CP6S49Q26L,
Call-DC01-01,Powered On,2,4096,Microsoft Windows Server 2016 (64-bit),Normal,284.18  GB,39.19  GB,eagpvxnode06.ea.dii.state.vt.us,WIN-2KH1K9PGM3C,
TAX-DC05,Powered On,1,4096,Microsoft Windows Server 2016 (64-bit),Normal,84.18  GB,39.18  GB,eagpvxnode07.ea.dii.state.vt.us,TAX-DC05,
TAX-DC04,Powered On,1,4096,Microsoft Windows Server 2016 (64-bit),Normal,84.18  GB,39.18  GB,eagpvxnode10.ea.dii.state.vt.us,TAX-DC04,
EDU-EDE-ETL,Powered On,2,4096,Microsoft Windows Server 2016 (64-bit),Normal,154.18  GB,39.15  GB,eagpvxnode15.ea.dii.state.vt.us,WIN-DNC16P15JKM,
JUD-TYLER00,Powered On,1,4096,Microsoft Windows Server 2016 (64-bit),Normal,104.18  GB,38.65  GB,eagpvxnode11.ea.dii.state.vt.us,Tyler00,
