"Object Name","Object Type","Location","Cluster Location","SLA Domain","Protected On","Total Local Storage (GB)","Total Archive Storage (GB)","Local Storage Growth (MB/day)","Archive Storage Growth (MB/day)"
"eagwaschwartztv","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-06-26 17:17:38","41.9","0.0","-168.9","0.0"
"ASR-CENTOS7-00","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Remote","Unprotected","","0.0","0.0","0.0","0.0"
"eagwphaigh01","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Remote","Unprotected","","0.0","0.0","0.0","0.0"
"eagmemcmon-4.1","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-01-09 14:12:36","4.8","0.0","0.2","0.0"
"eagpvhield03","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-01-09 14:12:33","3.8","0.0","4.4","0.0"
"eagmesrs","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-01-09 14:12:33","5.7","0.0","37.4","0.0"
"eagptvpsc03","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-01-09 18:24:20","4.5","0.0","0.3","0.0"
"EAGMDC01","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-01-09 14:12:35","26.0","0.0","-52.8","0.0"
"eagwdgwozdztv","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-01-09 14:12:33","76.8","0.0","-58.8","0.0"
"eagptvvc02","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-01-23 18:40:58","9.0","0.0","-0.2","0.0"
"eagmtvepsc","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-01-09 14:12:32","7.5","0.0","0.6","0.0"
"eagwjhosfordtv","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-02-06 12:08:25","31.6","0.0","232.6","0.0"
"eagwjheintz","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","2017-10-09 07:55:38","58.1","0.0","-88.9","0.0"
"EAGMLM","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","2017-10-06 15:16:15","16.0","0.0","-0.8","0.0"
"eagmutlppath02","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","2017-10-06 15:16:15","0.7","0.0","-0.0","0.0"
"eagmsplunk01","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","2017-10-06 15:16:14","212.2","0.0","56.4","0.0"
"eagpvmvcdb01","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","2017-10-11 08:48:08","408.4","0.0","1602.1","0.0"
