Object Name,Object Type,Location,Cluster Location,SLA Domain,Organization,Data Reduction (%),Dedup Ratio,Logical Data Reduction (%),Logical Dedup Ratio,Protected On,Total Local Storage (GB),Total Archive Storage (GB),Local Storage Growth (MB/day),Archive Storage Growth (MB/day)
ERP-FMDRCRY01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,68.98,3.22,97.66,42.81,10/23/2017 7:41,18.8,0,-0.3,0
ERP-FMDREP01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,80.54,5.14,98.63,72.99,10/23/2017 7:41,55.2,0,-0.1,0
ERP-FMDRWEB01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,47.11,1.89,96.04,25.25,10/23/2017 7:41,31.9,0,0.2,0
ERP-FMDRWEB02,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,55.62,2.25,96.44,28.12,10/23/2017 7:41,26.7,0,-1,0
ERP-FMDRWEB03,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,47.92,1.92,93.2,14.71,10/23/2017 7:41,58.4,0,0.1,0
ERP-FMPLG01-new,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ERP,96.12,25.78,99.73,375.45,8/27/2018 13:12,111.2,0,421,0
ERP-FMPLG01-new,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,96.12,25.78,99.73,375.45,8/27/2018 13:12,111.2,0,421,0
ERP-FMPRDAPP01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ERP,91.92,12.37,98.99,98.98,10/17/2018 15:15,8.7,0,1084.8,0
ERP-FMPRDAPP01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,91.92,12.37,98.99,98.98,10/17/2018 15:15,8.7,0,1084.8,0
ERP-FMPRDAPP02,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ERP,91.92,12.37,98.99,98.98,10/17/2018 15:15,8.7,0,1084.8,0
ERP-FMPRDAPP02,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,91.92,12.37,98.99,98.98,10/17/2018 15:15,8.7,0,1084.8,0
ERP-FMPRDREP01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ERP,89.1,9.17,98.64,73.36,10/17/2018 14:44,11.7,0,41.1,0
ERP-FMPRDREP01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,89.1,9.17,98.64,73.36,10/17/2018 14:44,11.7,0,41.1,0
ERP-FMPRDWEB01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ERP,76.76,4.3,97.1,34.43,10/17/2018 14:44,24.9,0,41.1,0
ERP-FMPRDWEB01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,76.76,4.3,97.1,34.43,10/17/2018 14:44,24.9,0,41.1,0
ERP-FMPRDWEB02,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ERP,89.1,9.17,98.64,73.36,10/17/2018 14:44,11.7,0,41.1,0
ERP-FMPRDWEB02,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,89.1,9.17,98.64,73.36,10/17/2018 14:44,11.7,0,41.1,0
ERP-FMPRDWEB03,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ERP,99.61,258.09,99.95,2064.73,10/17/2018 14:44,0.4,0,-3025.6,0
ERP-FMPRDWEB03,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,99.61,258.09,99.95,2064.73,10/17/2018 14:44,0.4,0,-3025.6,0
