Name,State,CPUs,Memory Size (MB),Guest OS,Status,Provisioned Space,Used Space,Host,Managed By
JUD-OP-PORT01,Powered On,8,16384,Microsoft Windows Server 2016 (64-bit),Normal,166.19  GB,48.27  GB,eagpvxnode08.ea.dii.state.vt.us,
JUD-OP-PORT02,Powered On,8,16384,Microsoft Windows Server 2016 (64-bit),Normal,166.19  GB,48.27  GB,eagpvxnode14.ea.dii.state.vt.us,
JUD-OP-WF01,Powered On,8,16384,Microsoft Windows Server 2016 (64-bit),Normal,116.19  GB,50.81  GB,eagpvxnode10.ea.dii.state.vt.us,
JUD-OP-WF02,Powered On,8,16384,Microsoft Windows Server 2016 (64-bit),Normal,116.19  GB,51.9  GB,eagpvxnode13.ea.dii.state.vt.us,
PSB-DevEcrtApp1,Powered On,4,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,179.18  GB,98.45  GB,eagpvxnode08.ea.dii.state.vt.us,
PSB-DevEcrtWeb1,Powered On,4,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,128.18  GB,62.2  GB,eagpvxnode10.ea.dii.state.vt.us,
PSB-ProEcrtApp1,Powered On,8,32768,Microsoft Windows Server 2008 R2 (64-bit),Normal,192.19  GB,100.98  GB,eagpvxnode02.ea.dii.state.vt.us,
PSB-ProEcrtWeb1,Powered On,6,16384,Microsoft Windows Server 2008 R2 (64-bit),Normal,239.23  GB,119.24  GB,eagpvxnode16.ea.dii.state.vt.us,
PSBD-DevEcMapp1,Powered On,4,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,438.19  GB,92.52  GB,eagpvxnode11.ea.dii.state.vt.us,
PSBD-DevSql1,Powered On,4,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,338.19  GB,229.35  GB,eagpvxnode14.ea.dii.state.vt.us,
PSBD-ProdFiles1,Powered On,4,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,228.19  GB,88.86  GB,eagpvxnode03.ea.dii.state.vt.us,
PSBD-ProdSQL1,Powered On,8,32768,Microsoft Windows Server 2008 R2 (64-bit),Normal,362.19  GB,315.92  GB,eagpvxnode15.ea.dii.state.vt.us,
PSBD-ProEcMapp1,Powered On,4,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,128.19  GB,94.05  GB,eagpvxnode06.ea.dii.state.vt.us,
PSD-DevEcrtApp1,Powered On,4,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,128.18  GB,68.2  GB,eagpvxnode13.ea.dii.state.vt.us,
PSD-DevEcrtWeb1,Powered On,4,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,128.18  GB,38.03  GB,eagpvxnode12.ea.dii.state.vt.us,
PSD-ProEcrtApp1,Powered On,4,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,128.19  GB,67.79  GB,eagpvxnode04.ea.dii.state.vt.us,
PSD-ProEcrtWeb1,Powered On,6,16384,Microsoft Windows Server 2008 R2 (64-bit),Normal,136.19  GB,49.46  GB,eagpvxnode01.ea.dii.state.vt.us,
SAS-RICOH,Powered On,4,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,258.18  GB,142.81  GB,eagpvxnode03.ea.dii.state.vt.us,
ScaleIO-10.216.34.201,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode01.ea.dii.state.vt.us,
ScaleIO-10.216.34.202,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode02.ea.dii.state.vt.us,
ScaleIO-10.216.34.203,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode03.ea.dii.state.vt.us,
ScaleIO-10.216.34.204,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode04.ea.dii.state.vt.us,
ScaleIO-10.216.34.205,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode05.ea.dii.state.vt.us,
ScaleIO-10.216.34.206,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode06.ea.dii.state.vt.us,
ScaleIO-10.216.34.207,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode07.ea.dii.state.vt.us,
ScaleIO-10.216.34.208,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode08.ea.dii.state.vt.us,
ScaleIO-10.216.34.209,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode09.ea.dii.state.vt.us,
ScaleIO-10.216.34.210,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode10.ea.dii.state.vt.us,
ScaleIO-10.216.34.211,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode11.ea.dii.state.vt.us,
ScaleIO-10.216.34.212,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,169.74  MB,0  B,eagpvxnode12.ea.dii.state.vt.us,
ScaleIO-10.216.34.213,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode13.ea.dii.state.vt.us,
ScaleIO-10.216.34.214,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode14.ea.dii.state.vt.us,
ScaleIO-10.216.34.215,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode15.ea.dii.state.vt.us,
ScaleIO-10.216.34.216,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode16.ea.dii.state.vt.us,
Spock,Powered On,4,12288,Microsoft Windows Server 2008 R2 (64-bit),Normal,1.32  TB,991.69  GB,eagpvxnode09.ea.dii.state.vt.us,
Test-O-Rama-0,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode05.ea.dii.state.vt.us,
Test-O-Rama-1,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode03.ea.dii.state.vt.us,
VCGIDEVAPP01,Powered On,2,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,88.18  GB,88.18  GB,eagpvxnode01.ea.dii.state.vt.us,
VCGIDEVDB02,Powered On,2,4096,Microsoft Windows Server 2012 (64-bit),Normal,84.18  GB,84.18  GB,eagpvxnode02.ea.dii.state.vt.us,
VCGIDEVWEB01,Powered On,1,2048,Microsoft Windows Server 2008 R2 (64-bit),Normal,82.18  GB,82.18  GB,eagpvxnode03.ea.dii.state.vt.us,
VCGIPRDAPP01,Powered On,5,36864,Microsoft Windows Server 2008 R2 (64-bit),Normal,10.4  TB,5.19  TB,eagpvxnode04.ea.dii.state.vt.us,
VCGIPRDDB02,Powered On,2,4096,Microsoft Windows Server 2012 (64-bit),Normal,264.18  GB,264.18  GB,eagpvxnode05.ea.dii.state.vt.us,
VCGIPRDWEB01,Powered On,1,3072,Microsoft Windows Server 2008 R2 (64-bit),Normal,163.18  GB,163.18  GB,eagpvxnode06.ea.dii.state.vt.us,
VLC-SFTP,Powered On,1,1024,Microsoft Windows Server 2008 R2 (64-bit),Normal,61.18  GB,46.66  GB,eagpvxnode12.ea.dii.state.vt.us,
vShield-Edge-AGO-0,Powered On,1,256,Other (32-bit),Normal,867.19  MB,867.19  MB,eagpvxnode02.ea.dii.state.vt.us,
vShield-Edge-AGO-1,Powered On,1,256,Other (32-bit),Normal,867.19  MB,867.19  MB,eagpvxnode03.ea.dii.state.vt.us,
vShield-Edge-AHS-0,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode10.ea.dii.state.vt.us,
vShield-Edge-AHS-1,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode14.ea.dii.state.vt.us,
vShield-Edge-AHSFiles-0,Powered On,1,256,Other (32-bit),Normal,867.19  MB,867.19  MB,eagpvxnode12.ea.dii.state.vt.us,
vShield-Edge-AHSFiles-1,Powered On,1,256,Other (32-bit),Normal,867.19  MB,867.19  MB,eagpvxnode06.ea.dii.state.vt.us,
vShield-Edge-ANR-0,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode06.ea.dii.state.vt.us,
vShield-Edge-ANR-1,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode07.ea.dii.state.vt.us,
vShield-Edge-DII-0,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode04.ea.dii.state.vt.us,
vShield-Edge-DII-1,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode13.ea.dii.state.vt.us,
vShield-Edge-DIIDMZ-0,Powered On,1,256,Other (32-bit),Normal,867.19  MB,867.19  MB,eagpvxnode03.ea.dii.state.vt.us,
vShield-Edge-DIIDMZ-1,Powered On,1,256,Other (32-bit),Normal,867.19  MB,867.19  MB,eagpvxnode16.ea.dii.state.vt.us,
vShield-Edge-DLC-0,Powered On,1,256,Other (32-bit),Normal,867.19  MB,867.19  MB,eagpvxnode10.ea.dii.state.vt.us,
vShield-Edge-DLC-1,Powered On,1,256,Other (32-bit),Normal,867.19  MB,867.19  MB,eagpvxnode07.ea.dii.state.vt.us,
vShield-Edge-E911-0,Powered On,1,256,Other (32-bit),Normal,867.2  MB,867.2  MB,eagpvxnode08.ea.dii.state.vt.us,
vShield-Edge-E911-1,Powered On,1,256,Other (32-bit),Normal,867.2  MB,867.19  MB,eagpvxnode05.ea.dii.state.vt.us,
vShield-Edge-EA-0,Powered On,1,256,Other (32-bit),Normal,867.2  MB,867.2  MB,eagpvxnode02.ea.dii.state.vt.us,
vShield-Edge-EA-1,Powered On,1,256,Other (32-bit),Normal,867.2  MB,867.2  MB,eagpvxnode12.ea.dii.state.vt.us,
Vshield-Edge-eamigtest-0,Powered On,1,256,Other (32-bit),Normal,867.01  MB,867.01  MB,eagpvxnode13.ea.dii.state.vt.us,
Vshield-Edge-eamigtest-1,Powered On,1,256,Other (32-bit),Normal,867.2  MB,867.2  MB,eagpvxnode09.ea.dii.state.vt.us,
vShield-Edge-EDU-0,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode10.ea.dii.state.vt.us,
vShield-Edge-EDU-1,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode03.ea.dii.state.vt.us,
vShield-Edge-ERP-0,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode12.ea.dii.state.vt.us,
vShield-Edge-ERP-1,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode10.ea.dii.state.vt.us,
vShield-Edge-EX-0,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode02.ea.dii.state.vt.us,
vShield-Edge-EX-1,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode12.ea.dii.state.vt.us,
vShield-Edge-GEN-0,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode04.ea.dii.state.vt.us,
vShield-Edge-GEN-1,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode03.ea.dii.state.vt.us,
vShield-Edge-JUD-0,Powered On,4,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode03.ea.dii.state.vt.us,
vShield-Edge-JUD-1,Powered On,4,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode15.ea.dii.state.vt.us,
vShield-Edge-PSB-0,Powered On,1,256,Other (32-bit),Normal,867.19  MB,867.19  MB,eagpvxnode05.ea.dii.state.vt.us,
vShield-Edge-PSB-1,Powered On,1,256,Other (32-bit),Normal,867.19  MB,867.19  MB,eagpvxnode02.ea.dii.state.vt.us,
vShield-Edge-TRE-0,Powered On,1,256,Other (32-bit),Normal,867.19  MB,867.19  MB,eagpvxnode04.ea.dii.state.vt.us,
vShield-Edge-TRE-1,Powered On,1,256,Other (32-bit),Normal,867.19  MB,867.19  MB,eagpvxnode13.ea.dii.state.vt.us,
vShield-Edge-VCGI-0,Powered On,1,256,Other (32-bit),Normal,867.19  MB,867.19  MB,eagpvxnode08.ea.dii.state.vt.us,
vShield-Edge-VCGI-1,Powered On,1,256,Other (32-bit),Normal,867.2  MB,867.2  MB,eagpvxnode12.ea.dii.state.vt.us,
vShield-Edge-VxRack-0,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode02.ea.dii.state.vt.us,
vShield-Edge-VxRack-1,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode12.ea.dii.state.vt.us,
VVH-ScanDent,Powered On,1,2048,Ubuntu Linux (32-bit),Normal,42.22  GB,42.22  GB,eagpvxnode13.ea.dii.state.vt.us,
