"Object Name","Object Type","Location","Cluster Location","SLA Domain","Organization","Data Reduction (%)","Dedup Ratio","Logical Data Reduction (%)","Logical Dedup Ratio","Protected On","Total Local Storage (GB)","Total Archive Storage (GB)","Local Storage Growth (MB/day)","Archive Storage Growth (MB/day)"
"ABDRAPP01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","82.14","5.60","98.74","79.64","2017-10-23 07:41:44","16.2","0.0","0.0","0.0"
"DPSFTP","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","TV Two Weeks","DPS","75.08","4.01","97.65","42.50","2017-10-24 10:21:16","16.4","0.0","-50.7","0.0"
"DPSFTP","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","75.08","4.01","97.65","42.50","2017-10-24 10:21:16","16.4","0.0","-50.7","0.0"
"AOTADFS1","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","TV Two Weeks","DPS","75.29","4.05","97.64","42.41","2017-10-19 08:55:38","16.5","0.0","-612.9","0.0"
"AOTADFS1","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","75.29","4.05","97.64","42.41","2017-10-19 08:55:38","16.5","0.0","-612.9","0.0"
"EDU-EDE-SQLPRD","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","EDU","98.47","65.27","99.90","975.82","2018-09-12 10:33:46","16.5","0.0","1.2","0.0"
"EDU-EDE-SQLPRD","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","98.47","65.27","99.90","975.82","2018-09-12 10:33:46","16.5","0.0","1.2","0.0"
"CS-Test2016-A","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","72.44","3.63","97.77","44.82","2018-06-22 12:06:25","16.8","0.0","256.3","0.0"
"Turboscan","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","TV Two Weeks","DPS","75.66","4.11","97.59","41.51","2017-10-25 13:47:01","16.8","0.0","-60.1","0.0"
"Turboscan","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","75.66","4.11","97.59","41.51","2017-10-25 13:47:01","16.8","0.0","-60.1","0.0"
"ATG-DC02","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","AGO","77.35","4.41","97.90","47.52","2018-07-27 14:17:55","16.9","0.0","-23.1","0.0"
"ATG-DC02","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","77.35","4.41","97.90","47.52","2018-07-27 14:17:55","16.9","0.0","-23.1","0.0"
