Object Name,Object Type,Location,Cluster Location,SLA Domain,Organization,Data Reduction (%),Dedup Ratio,Logical Data Reduction (%),Logical Dedup Ratio,Protected On,Total Local Storage (GB),Total Archive Storage (GB),Local Storage Growth (MB/day),Archive Storage Growth (MB/day)
ENT-Citrix-XA04,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,78.26,4.6,96.34,27.34,10/24/2017 8:23,71.5,0,132.5,0
Ent-Citrix-XA05,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,48.98,1.96,94.86,19.47,10/24/2017 8:23,100.4,0,517.7,0
Ent-Citrix-XA05,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,DII - EAS,48.98,1.96,94.86,19.47,10/24/2017 8:23,100.4,0,517.7,0
Ent-Citrix-XA05,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,48.98,1.96,94.86,19.47,10/24/2017 8:23,100.4,0,517.7,0
Ent-Citrix-XA06,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,62.24,2.65,94.65,18.69,10/24/2017 8:23,104.6,0,211.5,0
Ent-Citrix-XA06,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,DII - EAS,62.24,2.65,94.65,18.69,10/24/2017 8:23,104.6,0,211.5,0
Ent-Citrix-XA06,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,62.24,2.65,94.65,18.69,10/24/2017 8:23,104.6,0,211.5,0
ENT-Citrix-XA07,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,51.57,2.06,95.8,23.81,10/24/2017 8:23,87.9,0,50.1,0
ENT-Citrix-XA07,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,DII - EAS,51.57,2.06,95.8,23.81,10/24/2017 8:23,87.9,0,50.1,0
ENT-Citrix-XA07,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,51.57,2.06,95.8,23.81,10/24/2017 8:23,87.9,0,50.1,0
Ent-Citrix-XA08,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,45.92,1.85,95.39,21.67,10/24/2017 8:23,96.6,0,-9.5,0
Ent-Citrix-XA08,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,DII - EAS,45.92,1.85,95.39,21.67,10/24/2017 8:23,96.6,0,-9.5,0
Ent-Citrix-XA08,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,45.92,1.85,95.39,21.67,10/24/2017 8:23,96.6,0,-9.5,0
ENT-Footprints,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,96.99,33.2,99.8,498.03,11/10/2017 9:00,11.3,0,0,0
ENT-Footprints,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,DII - EAS,96.99,33.2,99.8,498.03,11/10/2017 9:00,11.3,0,0,0
ENT-Footprints,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,96.99,33.2,99.8,498.03,11/10/2017 9:00,11.3,0,0,0
ENT-LAMP01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,42.75,1.75,95.46,22,11/10/2017 9:00,18.3,0,13.9,0
ENT-LAMP01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,DII - EAS,42.75,1.75,95.46,22,11/10/2017 9:00,18.3,0,13.9,0
ENT-LAMP01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,42.75,1.75,95.46,22,11/10/2017 9:00,18.3,0,13.9,0
ENT-LD-DB,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Weekly large Snapshots,Dave Fortin,82.74,5.79,87.56,8.04,1/26/2018 9:53,133.6,0,-274.7,0
ENT-LD-DB,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Weekly large Snapshots,DII - EAS,82.74,5.79,87.56,8.04,1/26/2018 9:53,133.6,0,-274.7,0
ENT-LD-DB,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Weekly large Snapshots,Global,82.74,5.79,87.56,8.04,1/26/2018 9:53,133.6,0,-274.7,0
ENT-MCAFEE,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,76.06,4.18,98.12,53.3,11/6/2017 7:48,55.8,0,-789.1,0
ENT-MCAFEE,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,DII - EAS,76.06,4.18,98.12,53.3,11/6/2017 7:48,55.8,0,-789.1,0
ENT-MCAFEE,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,76.06,4.18,98.12,53.3,11/6/2017 7:48,55.8,0,-789.1,0
ENT-MCAFEEAGENT,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,74.34,3.9,97.91,47.91,11/6/2017 7:48,15.7,0,-122.8,0
ENT-MCAFEEAGENT,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,DII - EAS,74.34,3.9,97.91,47.91,11/6/2017 7:48,15.7,0,-122.8,0
ENT-MCAFEEAGENT,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,74.34,3.9,97.91,47.91,11/6/2017 7:48,15.7,0,-122.8,0
ENT-NL-NBU-MAST,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,75.01,4,97.39,38.29,11/6/2017 7:48,116.1,0,-49.9,0
ENT-NL-NBU-MAST,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,DII - EAS,75.01,4,97.39,38.29,11/6/2017 7:48,116.1,0,-49.9,0
ENT-NL-NBU-MAST,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,75.01,4,97.39,38.29,11/6/2017 7:48,116.1,0,-49.9,0
ENT-OPENVAS,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,83.88,6.2,98.91,91.48,10/24/2017 8:24,8.8,0,0.4,0
ENT-OPENVAS,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,DII - EAS,83.88,6.2,98.91,91.48,10/24/2017 8:24,8.8,0,0.4,0
ENT-OPENVAS,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,83.88,6.2,98.91,91.48,10/24/2017 8:24,8.8,0,0.4,0
ENT-PRINTERS,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,66.21,2.96,96.3,27.02,11/10/2017 9:00,35.4,0,84.5,0
ENT-PRINTERS,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,DII - EAS,66.21,2.96,96.3,27.02,11/10/2017 9:00,35.4,0,84.5,0
ENT-PRINTERS,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,66.21,2.96,96.3,27.02,11/10/2017 9:00,35.4,0,84.5,0
ENT-SPLUNK01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,ERP,80.7,5.18,98.41,62.76,11/10/2017 9:10,53.9,0,36.9,0
ENT-SPLUNK01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,80.7,5.18,98.41,62.76,11/10/2017 9:10,53.9,0,36.9,0
ENT-SQLTEL,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,89.69,9.69,97.12,34.72,11/10/2017 9:00,120.6,0,-612.2,0
ENT-SQLTEL,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,DII - EAS,89.69,9.69,97.12,34.72,11/10/2017 9:00,120.6,0,-612.2,0
ENT-SQLTEL,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,89.69,9.69,97.12,34.72,11/10/2017 9:00,120.6,0,-612.2,0
ENT-TEL,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,75.94,4.16,98.2,55.65,11/10/2017 9:00,34,0,-72.3,0
ENT-TEL,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,DII - EAS,75.94,4.16,98.2,55.65,11/10/2017 9:00,34,0,-72.3,0
ENT-TEL,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,75.94,4.16,98.2,55.65,11/10/2017 9:00,34,0,-72.3,0
ENT-TenableFull-New,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,86.81,7.58,98.87,88.25,8/2/2018 10:05,71.8,0,99.1,0
