"Object Name","Object Type","Location","Cluster Location","SLA Domain","Organization","Data Reduction (%)","Dedup Ratio","Logical Data Reduction (%)","Logical Dedup Ratio","Protected On","Total Local Storage (GB)","Total Archive Storage (GB)","Local Storage Growth (MB/day)","Archive Storage Growth (MB/day)"
"AHS-SECURID","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","95.87","24.22","99.71","345.28","2017-10-23 07:31:33","4.9","0.0","0.5","0.0"
"eagmnlepsc","vSphere VM","eagmnlvca.ea.dii.state.vt.us","Local","NL Two Weeks","Global","91.58","11.88","99.32","146.84","2018-01-09 10:08:17","5.7","0.0","2.4","0.0"
"eagmlogicmon","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","88.40","8.62","99.21","125.96","2017-10-06 14:37:32","6.4","0.0","-0.0","0.0"
"eagmlogicmon","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","88.40","8.62","99.21","125.96","2017-10-06 14:37:32","6.4","0.0","-0.0","0.0"
"kentest2","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","88.07","8.38","99.12","114.16","2017-10-06 14:37:32","7.1","0.0","0.1","0.0"
"kentest2","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","88.07","8.38","99.12","114.16","2017-10-06 14:37:32","7.1","0.0","0.1","0.0"
"EAG-pfSenseWS-Jon","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","86.68","7.51","99.07","107.06","2018-06-18 14:27:15","7.5","0.0","-0.0","0.0"
"EAG-pfSenseWS-Jon","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","86.68","7.51","99.07","107.06","2018-06-18 14:27:15","7.5","0.0","-0.0","0.0"
"JBECKER-VM","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","ERP","79.08","4.78","97.83","46.08","2017-10-24 08:27:14","8.7","0.0","-5.5","0.0"
"JBECKER-VM","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","79.08","4.78","97.83","46.08","2017-10-24 08:27:14","8.7","0.0","-5.5","0.0"
"ENT-OPENVAS","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","83.88","6.20","98.91","91.50","2017-10-24 08:24:06","8.8","0.0","0.3","0.0"
