"Object Name","Object Type","Location","Cluster Location","SLA Domain","Protected On","Total Local Storage (B)","Total Archive Storage (B)","Local Storage Growth (B/day)","Archive Storage Growth (B/day)"
"eagptvpsc02.ea.dii.state.vt.us","vSphere VM","eagmtvvc01.ea.dii.state.vt.us","Local","Unprotected","","0.0","0.0","0.0","0.0"
"eagptvvc01.ea.dii.state.vt.us","vSphere VM","eagmtvvc01.ea.dii.state.vt.us","Local","Unprotected","","0.0","0.0","0.0","0.0"
"ASR-CENTOS7-00","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Local","TV Two Weeks","2018-12-13 13:34:43","4307306894.0","0.0","5207949.0","0.0"
"EAGMDC01","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Local","TV Two Weeks","2018-01-09 13:06:52","29853761070.0","0.0","66043237.0","0.0"
"eagmemcmon-4.1","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Local","TV Two Weeks","2018-01-09 13:06:52","4801333725.0","0.0","386422.0","0.0"
"eagmesrs","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Local","TV Two Weeks","2018-01-09 13:06:51","5845905651.0","0.0","1406353.0","0.0"
"eagmsecret01","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Local","TV Two Weeks","2018-03-12 17:14:05","27402207963.0","0.0","45737646.0","0.0"
"eagmtvepsc","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Local","TV Two Weeks","2018-01-09 13:06:51","7865777992.0","0.0","1241516.0","0.0"
"eagmtviaas01.ea.dii.state.vt.us","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Local","TV Two Weeks","2018-12-04 15:42:43","18637967675.0","0.0","-2406216.0","0.0"
"eagmtvlcm01.ea.dii.state.vt.us","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Local","TV Two Weeks","2018-12-04 15:42:43","5845642897.0","0.0","4963203.0","0.0"
"eagmtvrubrikproxy","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Local","TV Two Weeks","2018-07-12 10:48:17","2773298234.0","0.0","3999973.0","0.0"
"eagmtvvca","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Local","TV Two Weeks","2018-01-09 13:06:52","14750036152.0","0.0","6906984.0","0.0"
